,ymd,hour,data_source,sum(total_bytes)
153,2017-01-02,3,anaconda,66837474088
154,2018-06-28,20,conda-forge,247748131
155,2019-01-30,4,bioconda,9262357
156,2019-01-23,15,anaconda,1289461619119
157,2018-11-18,14,anaconda,488121801027
158,2017-01-08,10,anaconda,44579598856
159,2017-07-08,22,conda-forge,24151450
160,2017-06-28,16,anaconda,388248823290
161,2017-06-10,22,conda-forge,24796387
162,2017-12-09,23,bioconda,1051448
163,2017-05-25,11,conda-forge,40650041
164,2017-09-17,8,anaconda,139449278142
165,2018-09-01,2,bioconda,1981045
166,2017-07-07,5,anaconda,132959414764
167,2018-04-18,13,conda-forge,209289201
168,2018-07-15,17,pyviz,84496
169,2017-08-09,18,anaconda,418559293938
170,2019-02-07,17,pyviz,389617
171,2017-12-02,19,anaconda,257954329199
172,2019-05-22,6,pyviz,203656
173,2019-01-24,10,anaconda,1123636730109
174,2017-12-29,20,conda-forge,76889386
175,2019-03-20,0,bioconda,108831772
176,2017-08-18,8,anaconda,283693385008
177,2018-05-11,3,bioconda,3061763
178,2017-10-19,6,conda-forge,56575715
179,2017-04-17,8,conda-forge,22148807
180,2018-02-16,19,anaconda,631861331159
181,2018-10-31,12,conda-forge,318258713
182,2018-12-04,10,bioconda,5427974
183,2019-01-28,2,conda-forge,129240972064
184,2017-12-20,12,conda-forge,101447296
185,2019-07-10,3,conda-forge,174686328714
186,2018-12-11,17,bioconda,12491340
187,2018-11-05,9,conda-forge,249870415
188,2019-04-18,18,anaconda,1293589636209
189,2017-09-06,13,bioconda,7611753
190,2017-08-04,7,bioconda,3124434
191,2018-11-25,20,anaconda,680548129284
192,2018-04-11,12,conda-forge,143373000
193,2018-04-27,1,bioconda,6725753
194,2018-01-04,22,conda-forge,146466448
195,2017-12-09,1,anaconda,240167485154
196,2017-08-12,6,anaconda,150513309487
197,2019-03-06,2,bioconda,82011176
198,2017-05-05,19,bioconda,2102699
199,2018-07-10,2,pyviz,508515
200,2017-07-21,22,conda-forge,66577151
201,2017-09-15,17,bioconda,5319083
202,2017-01-06,3,anaconda,100176461566
203,2019-02-02,14,conda-forge,85798297993
204,2019-01-08,9,pyviz,265807
205,2018-05-24,19,pyviz,4555
206,2017-11-19,1,conda-forge,79103248
207,2019-03-16,14,pyviz,320314
208,2017-05-03,16,conda-forge,102392652
209,2018-01-18,18,bioconda,5109647
210,2018-07-11,6,bioconda,2850729
211,2018-05-04,21,bioconda,4115539
212,2018-06-02,23,conda-forge,79698354
213,2018-09-02,4,bioconda,495707
214,2018-02-14,21,anaconda,464233433682
215,2018-05-13,9,bioconda,1144547
216,2017-09-24,14,bioconda,5069726
217,2018-11-06,20,bioconda,17721807
218,2019-07-14,20,conda-forge,140608040653
219,2019-03-26,23,anaconda,1306676779720
220,2018-11-26,4,bioconda,1746364
221,2017-01-16,22,anaconda,198845544872
222,2018-11-27,21,anaconda,1136765290630
223,2019-03-20,17,pyviz,345758
224,2019-05-30,18,pyviz,547867
225,2018-01-05,5,conda-forge,58506323
226,2019-02-15,8,pyviz,286039
227,2019-06-13,11,conda-forge,221298191905
228,2019-02-17,10,anaconda,678278468499
229,2018-08-06,2,anaconda,423524043875
230,2019-07-08,20,conda-forge,320235616188
231,2017-06-11,11,conda-forge,26508941
232,2017-04-04,21,anaconda,301409109572
233,2017-08-14,4,conda-forge,38563808
234,2019-05-19,4,bioconda,4055804795
235,2017-08-26,19,anaconda,146580636966
236,2017-05-13,16,anaconda,121300436869
237,2017-04-13,7,bioconda,2127621
238,2019-02-25,3,bioconda,10960450
239,2018-08-19,1,anaconda,242768603130
240,2018-08-19,6,conda-forge,165471284
241,2018-06-14,18,anaconda,633994900655
242,2017-06-04,16,bioconda,1591347
243,2017-06-21,12,anaconda,277888406064
244,2017-06-08,7,bioconda,6340528
245,2019-05-30,19,pyviz,1013802
246,2018-07-15,20,conda-forge,174421940
247,2018-12-30,5,bioconda,2260966
248,2017-04-03,19,bioconda,2750623
249,2017-06-08,8,anaconda,225557703836
250,2019-05-31,12,conda-forge,291667152044
251,2019-03-19,11,conda-forge,389209184008
252,2018-06-28,12,conda-forge,184837792
253,2016-11-19,11,anaconda,40875362791
254,2018-01-21,4,bioconda,1467762
255,2018-06-06,8,anaconda,666582775494
256,2018-06-19,17,conda-forge,228492764
